 AB002   2   9   700   280    1.00000000   30   15 
  0  d     -77.4943926500   37.6085124500
  0  f     -77.4943926500   37.6085124500
  1  f     -77.6122426000   37.6598733400
  2  f     -77.0645931600   38.8694531600
  3  f     -78.4836242800   38.0716149000
  4  f     -76.5725130000   37.1928420000
  5  f     -76.5632573900   37.9687842700
  6  f     -78.4565899400   38.0383809600
  7  f     -77.6140804900   37.4321903800
  8  f     -77.4793110000   37.5702430000
  1  c     -80.2164056600   36.7724658500
  2  c     -80.9164056600   36.7724658500
